序号,品名,别名,英文名,CAS号,危险性类别,备注,来源页面
778,氟铍酸钠,,sodium fluoroberyllate,13871-27-7,"急性毒性-经口,类别3* 急性毒性-吸入,类别2* 皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2 皮肤致敏物,类别1 致癌性,类别1A 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激） 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,105
779,氟钽酸钾,钽氟酸钾；七氟化钽钾,potassium fluorotantalate;potassium heptafluorotantalate;tantalum potassium fluoride,16924-00-8,"急性毒性-经口,类别3",,105
780,氟乙酸,氟醋酸,fluoroacetic acid;fluoroethanoic acid,144-49-0,"急性毒性-经口,类别2* 危害水生环境-急性危害,类别1",剧毒,105
781,氟乙酸-2-苯酰肼,法尼林,fluoroacetic acid 2-phenylhydrazide;fanyline;fluoroacetp henylhydrazide,2343-36-4,"急性毒性-经口,类别2",,106
782,氟乙酸钾,氟醋酸钾,potassium fluoroacetate;fluoroacetic acid potassium salt,23745-86-0,"急性毒性-经口,类别2 急性毒性-经皮,类别1 急性毒性-吸入,类别2 危害水生环境-急性危害,类别1",,106
783,氟乙酸甲酯,,methyl fluoroacetate,453-18-9,"易燃液体,类别3 急性毒性-经口,类别1 急性毒性-经皮,类别1 急性毒性-吸入,类别1",剧毒,106
784,氟乙酸钠,氟醋酸钠,sodium fluoroacetate;fluoroacetic acid sodium salt,62-74-8,"急性毒性-经口,类别2* 急性毒性-经皮,类别1 急性毒性-吸入,类别2* 危害水生环境-急性危害,类别1",剧毒,106
785,氟乙酸乙酯,氟醋酸乙酯,ethyl fluoroacetate;ethyl fluoroethanoate,459-72-3,"易燃液体,类别3 急性毒性-经口,类别2",,106
786,氟乙烷,R161；乙基氟,fluoroethane;freon 161;ethyl fluoride,353-36-6,"易燃气体,类别1 加压气体",,106
787,氟乙烯[稳定的],乙烯基氟,"fluoroethylene,stabilized;vinyl fluoride",75-02-5,"易燃气体,类别1 化学不稳定性气体,类别B 加压气体 生殖细胞致突变性,类别2 致癌性,类别1B 特异性靶器官毒性-一次接触,类别 3 （麻醉效应） 特异性靶器官毒性-反复接触,类别2",,106
788,氟乙酰胺,,fluoroacetamide,640-19-7,"急性毒性-经口,类别2* 急性毒性-经皮,类别3*",剧毒,106
789.0,钙,金属钙,calcium,7440-70-2,"遇水放出易燃气体的物质和混合物, 类别2",,107
,金属钙粉,钙粉,calcium powder metal,7440-70-2,"自热物质和混合物,类别2 遇水放出易燃气体的物质和混合物, 类别2",,107
790.0,钙合金,,calcium alloy,,"遇水放出易燃气体的物质和混合物, 类别2",,107
791.0,钙锰硅合金,,calcium manganese silicon,,"遇水放出易燃气体的物质和混合物, 类别3",,107
792.0,"甘露糖醇六硝酸酯[湿的, 按质量含水或乙醇和水的 混合物不低于40％]",六硝基甘露醇,"mannitol hexanitrate, wettedwith not less than 40% water, ormixture of alcohol and water, bymass",15825-70-4,"爆炸物,1.1项",,107
793.0,高碘酸,过碘酸；仲高碘酸,paraperiodic acid;periodic acid;iodic acid; orthoperiodic acid,10450-60-9,"氧化性固体,类别2 皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1",,107
794.0,高碘酸铵,过碘酸铵,ammonium periodate,13446-11-2,"氧化性固体,类别2",,107
795.0,高碘酸钡,过碘酸钡,barium periodate,13718-58-6,"氧化性固体,类别2",,107
796.0,高碘酸钾,过碘酸钾,potassium periodate,7790-21-8,"氧化性固体,类别2",,107
797.0,高碘酸钠,过碘酸钠,sodium periodate,7790-28-5,"氧化性固体,类别2",,107
798.0,高氯酸[浓度＞72%],过氯酸,perchloric acid(more than 72%),7601-90-3,"氧化性液体,类别1 皮肤腐蚀/刺激,类别1A 严重眼损伤/眼刺激,类别1",,107
,高氯酸[浓度≤50%],,"perchloric acid with not more than 50% acid,by mass",,"氧化性液体,类别2 皮肤腐蚀/刺激,类别1B 严重眼损伤/眼刺激,类别1",,107
,高氯酸[浓度50%～72%],,"perchloric acid,with not less than 50% but not more than 72% acid,by mass",,"氧化性液体,类别1 皮肤腐蚀/刺激,类别1A 严重眼损伤/眼刺激,类别1",,107
799,高氯酸铵,过氯酸铵,ammonium perchlorate,7790-98-9,"爆炸物,1.1项 氧化性固体,类别1",,108
800,高氯酸钡,过氯酸钡,barium perchlorate,13465-95-7,"氧化性固体,类别1",,108
801,高氯酸醋酐溶液,过氯酸醋酐溶液,"perchloric acid (in acetic anhydride,solution)",,"氧化性液体,类别3* 皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1",,108
802,高氯酸钙,过氯酸钙,calcium perchlorate,13477-36-6,"氧化性固体,类别2",,108
803,高氯酸钾,过氯酸钾,potassium perchlorate;potassium hyperchlorate,7778-74-7,"氧化性固体,类别1",,108
804,高氯酸锂,过氯酸锂,lithium perchlorate,7791-03-9,"氧化性固体,类别2",,108
805,高氯酸镁,过氯酸镁,magnesium perchlorate,10034-81-8,"氧化性固体,类别2",,108
806,高氯酸钠,过氯酸钠,sodium perchlorate,7601-89-0,"氧化性固体,类别1",,108
807,高氯酸铅,过氯酸铅,lead perchlorate,13637-76-8,"氧化性固体,类别2 生殖毒性,类别1A 致癌性,类别1B 特异性靶器官毒性-反复接触,类别2* 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,108
808,高氯酸锶,过氯酸锶,strontium perchlorate,13450-97-0,"氧化性固体,类别2",,108
809,高氯酸亚铁,,ferrous perchlorate,13520-69-9,"氧化性固体,类别2",,108
810,高氯酸银,过氯酸银,silver perchlorate,7783-93-9,"氧化性固体,类别2",,108
811,高锰酸钡,过锰酸钡,barium permanganate;barium manganate(Ⅶ),7787-36-2,"氧化性固体,类别2",,108
812,高锰酸钙,过锰酸钙,calcium permanganate,10118-76-0,"氧化性固体,类别2",,108
813,高锰酸钾,过锰酸钾；灰锰氧,potassium permanganate;potassium hypermanganate;purple salt,7722-64-7,"氧化性固体,类别2 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,108
814,高锰酸钠,过锰酸钠,sodium permanganate,10101-50-5,"氧化性固体,类别2 皮肤腐蚀/刺激,类别1B 严重眼损伤/眼刺激,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,109
815,高锰酸锌,过锰酸锌,zinc permanganate,23414-72-4,"氧化性固体,类别2 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,109
816,高锰酸银,过锰酸银,silver permanganate,7783-98-4,"氧化性固体,类别2",,109
817,镉[非发火的],,cadmium(non-pyrophoric),7440-43-9,"急性毒性-吸入,类别2* 生殖细胞致突变性,类别2 致癌性,类别1A 生殖毒性,类别2 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,109
818,铬硫酸,,chromosulphuric acid,,"皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,109
819,铬酸钾,,potassium chromate,7789-00-6,"严重眼损伤/眼刺激,类别2 皮肤腐蚀/刺激,类别2 皮肤致敏物,类别1 生殖细胞致突变性,类别1B 致癌性,类别1A 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激） 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,109
67,N-苯基-2-萘胺,防老剂D,N-phenyl-2-naphthylamine;nezone D;N-2-naphthylaniline,135-88-6,"皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2 皮肤致敏物,类别1 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,10
68,2-苯基丙烯,异丙烯基苯；α-甲基苯乙烯,2-phenylpropene;isopropenylbenzene;α- methylstyrene,98-83-9,"易燃液体,类别3 严重眼损伤/眼刺激,类别2 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激） 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,10
69,2-苯基苯酚,邻苯基苯酚,2-phenylphenol;o-phenylphenol;biphenyl -2-ol;2-hydroxybiphenyl;,90-43-7,"皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激） 危害水生环境-急性危害,类别1",,10
70,苯基二氯硅烷,二氯苯基硅烷,phenyl dichloro silane;dichlorophenylsilane,1631-84-1,"易燃液体,类别3 皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1",,10
71,苯基硫醇,苯硫酚；巯基苯；硫代苯酚,phenyl mercaptan;benzenethiol;mercaptobenzene ;thiophenol,108-98-5,"易燃液体,类别3 急性毒性-经口,类别2 急性毒性-经皮,类别2 急性毒性-吸入,类别1 皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2A 生殖毒性,类别2 特异性靶器官毒性-一次接触,类别2 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激） 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",剧毒,10
820,铬酸钠,,sodium chromate,7775-11-3,"急性毒性-经口,类别3* 急性毒性-吸入,类别2* 皮肤腐蚀/刺激,类别1B 严重眼损伤/眼刺激,类别1 呼吸道致敏物,类别1 皮肤致敏物,类别1 生殖细胞致突变性,类别1B 致癌性,类别1A 生殖毒性,类别1B 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,110
821,铬酸铍,,beryllium chromate,14216-88-7,"急性毒性-经口,类别3* 急性毒性-吸入,类别2* 皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2 皮肤致敏物,类别1 致癌性,类别1A 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激） 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,110
822,铬酸铅,,lead chromate,7758-97-6,"致癌性,类别1A 生殖毒性,类别1A 特异性靶器官毒性-反复接触,类别2 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,110
823,铬酸溶液,,"chromic acid,solution",7738-94-5,"皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1 皮肤致敏物,类别1 致癌性,类别1A 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,110
824,铬酸叔丁酯四氯化碳溶液,,tert-butyl chromate solution in carbon tetrachloride,1189-85-1,"危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,111
825,庚二腈,"1,5-二氰基戊烷","pimelicdinitrile;1,5-dicyanopentane",646-20-8,"急性毒性-经口,类别3",,111
826,庚腈,氰化正己烷,heptanitrile;hexyl cyanide,629-08-3,"易燃液体,类别3 急性毒性-经口,类别3 急性毒性-经皮,类别3 急性毒性-吸入,类别3 皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激）",,111
827,1-庚炔,正庚炔,1-heptyne;n-heptyne,628-71-7,"易燃液体,类别2",,111
828,庚酸,正庚酸,heptanoic acid,111-14-8,"皮肤腐蚀/刺激,类别1B 严重眼损伤/眼刺激,类别1",,111
829,2-庚酮,甲基戊基甲酮,heptan-2-one;methyl amyl ketone;n-amyl methyl ketone,110-43-0,"易燃液体,类别3",,111
830,3-庚酮,乙基正丁基甲酮,heptan-3-one;ethyl n-butyl ketone;butyl ethyl ketone,106-35-4,"易燃液体,类别3 严重眼损伤/眼刺激,类别2",,111
831,4-庚酮,乳酮；二丙基甲酮,heptan-4-one;di-n-propyl ketone;dipropyl ketone,123-19-3,"易燃液体,类别3",,111
832,1-庚烯,正庚烯；正戊基乙烯,1-heptene;n-heptene;n-amylethylene,592-76-7,"易燃液体,类别2 特异性靶器官毒性-一次接触,类别 3 （麻醉效应） 吸入危害,类别1",,111
833,2-庚烯,,2-heptene,592-77-8,"易燃液体,类别2",,111
834,3-庚烯,,3-heptene,592-78-9,"易燃液体,类别2",,111
835,汞,水银,mercury;liquid silver,7439-97-6,"急性毒性-吸入,类别2* 生殖毒性,类别1B 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,111
836.0,挂-3-氯桥-6-氰基-2-降 冰片酮-O-(甲基氨基甲酰 基)肟,肟杀威,exo-3-chloro-endo-6-cyano-2-norbornano ne-O-(methylcarbamoyl)oxime;triamid;tr anid,15271-41-7,"急性毒性-经口,类别2* 急性毒性-经皮,类别3* 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,112
837.0,硅粉[非晶形的],,"silicon powder,amorphous",7440-21-3,"易燃固体,类别2 严重眼损伤/眼刺激,类别2B",,112
838.0,硅钙,二硅化钙,calcium silicon,12013-56-8,"遇水放出易燃气体的物质和混合物, 类别2",,112
839.0,硅化钙,,calcium silicide,12013-55-7,"遇水放出易燃气体的物质和混合物, 类别2",,112
840.0,硅化镁,,magnesium silicide,22831-39-6; 39404-03-0,"遇水放出易燃气体的物质和混合物, 类别2",,112
841.0,硅锂,,lithium silicon,68848-64-6,"遇水放出易燃气体的物质和混合物, 类别2",,112
842.0,硅铝,,aluminium silicide,57485-31-1,"遇水放出易燃气体的物质和混合物, 类别3",,112
,硅铝粉[无涂层的],,"aluminium silicon powder,uncoated",,"遇水放出易燃气体的物质和混合物, 类别3",,112
843.0,硅锰钙,,calcium manganese silicon,12205-44-6,"遇水放出易燃气体的物质和混合物, 类别3",,112
844.0,硅酸铅,,lead silicate,10099-76-0; 11120-22-2,"致癌性,类别1B 生殖毒性,类别1A 特异性靶器官毒性-一次接触,类别1 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,112
845.0,硅酸四乙酯,四乙氧基硅烷；正硅酸乙酯,tetraethyl silicate;tetraethoxysilane;TEOS,78-10-4,"易燃液体,类别3 严重眼损伤/眼刺激,类别2 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激）",,112
846,硅铁锂,,lithium ferrosilicon,64082-35-5,"遇水放出易燃气体的物质和混合物, 类别2",,113
847,硅铁铝[粉末状的],,aluminium ferrosilicon powder,12003-41-7,"遇水放出易燃气体的物质和混合物, 类别2",,113
848,癸二酰氯,氯化癸二酰,sebacoyl chloride;sebacyl chloride,111-19-3,"皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1",,113
849,癸硼烷,十硼烷；十硼氢,decaborane;boron hydride,17702-41-9,"易燃固体,类别1 急性毒性-经口,类别3 急性毒性-经皮,类别2 急性毒性-吸入,类别1 严重眼损伤/眼刺激,类别2B 特异性靶器官毒性-一次接触,类别1 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激、麻醉效应） 特异性靶器官毒性-反复接触,类别1",剧毒,113
850,1-癸烯,,1-decene,872-05-9,"易燃液体,类别3 皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2B 吸入危害,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,113
851,过二硫酸铵,高硫酸铵；过硫酸铵,diammonium peroxodisulphate;ammonium persulphate;ammonium peroxydisulfate,7727-54-0,"氧化性固体,类别3 皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2 呼吸道致敏物,类别1 皮肤致敏物,类别1 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激）",,113
