序号,品名,别名,英文名,CAS号,危险性类别,备注,来源页面
1933,砷酸二氢钠,,sodium arsenate monobasic,10103-60-3,"急性毒性-经口,类别2 严重眼损伤/眼刺激,类别2 致癌性,类别1A 生殖毒性,类别2 特异性靶器官毒性-一次接触,类别1 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,266
1934,砷酸钙,砷酸三钙,calcium arsenate,7778-44-1,"急性毒性-经口,类别3 严重眼损伤/眼刺激,类别2 致癌性,类别1A 生殖毒性,类别2 特异性靶器官毒性-一次接触,类别1 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,266
1935,砷酸汞,砷酸氢汞,mercuric arsenate;mercury arsenate,7784-37-4,"急性毒性-经口,类别2* 急性毒性-经皮,类别1 急性毒性-吸入,类别2* 致癌性,类别1A 特异性靶器官毒性-反复接触,类别2* 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,266
1936,砷酸钾,,"potassium arsenate;arsenic acid, monopotassium salt",7784-41-0,"急性毒性-经口,类别2 皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2 致癌性,类别1A 生殖毒性,类别2 特异性靶器官毒性-一次接触,类别1 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,266
1937,砷酸镁,,magnesium arsenate,10103-50-1,"急性毒性-经口,类别3* 急性毒性-吸入,类别3* 致癌性,类别1A 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,267
1938,砷酸钠,砷酸三钠,sodium arsenate tribasic,13464-38-5,"急性毒性-经口,类别3 严重眼损伤/眼刺激,类别2 致癌性,类别1A 生殖毒性,类别2 特异性靶器官毒性-一次接触,类别1 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,267
1939,砷酸铅,,lead arsenate,7645-25-2,"急性毒性-经口,类别3* 急性毒性-吸入,类别3* 致癌性,类别1A 生殖毒性,类别1A 特异性靶器官毒性-反复接触,类别2* 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,267
1940,砷酸氢二铵,,diammonium hydrogen arsenate,7784-44-3,"急性毒性-经口,类别3* 急性毒性-吸入,类别3* 致癌性,类别1A 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,267
1941,砷酸氢二钠,,disodium hydrogen arsenate,7778-43-0,"急性毒性-经口,类别3* 急性毒性-吸入,类别3* 皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2 致癌性,类别1A 生殖毒性,类别2 特异性靶器官毒性-一次接触,类别1 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,267
1942,砷酸锑,,antimony arsenate,28980-47-4,"急性毒性-经口,类别3* 急性毒性-吸入,类别3* 致癌性,类别1A 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,268
1943,砷酸铁,,ferric arsenate,10102-49-5,"急性毒性-经口,类别3* 急性毒性-吸入,类别3* 严重眼损伤/眼刺激,类别2 致癌性,类别1A 生殖毒性,类别2 特异性靶器官毒性-一次接触,类别1 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,268
1944,砷酸铜,,copper(Ⅱ) arsenite,10103-61-4,"急性毒性-经口,类别3* 急性毒性-吸入,类别3* 严重眼损伤/眼刺激,类别2 致癌性,类别1A 生殖毒性,类别2 特异性靶器官毒性-一次接触,类别1 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,268
1945,砷酸锌,,zinc arsenate,1303-39-5,"急性毒性-经口,类别3* 急性毒性-吸入,类别3* 严重眼损伤/眼刺激,类别2 致癌性,类别1A 生殖毒性,类别2 特异性靶器官毒性-一次接触,类别1 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,268
1946,砷酸亚铁,,ferrous arsenate,10102-50-8,"急性毒性-经口,类别3* 急性毒性-吸入,类别3* 致癌性,类别1A 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,269
1947,砷酸银,,silver arsenate,13510-44-6,"急性毒性-经口,类别3* 急性毒性-吸入,类别3* 致癌性,类别1A 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,269
1948,生漆,大漆,raw lacquer;urushi,,"严重眼损伤/眼刺激,类别2B 皮肤致敏物,类别1 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激）",,269
1949,生松香,焦油松香；松脂,raw rosin,,"易燃固体,类别2",,269
1950,十八烷基三氯硅烷,,octadecyltrichlorosilane,112-04-9,"皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1",,269
1951,十八烷基乙酰胺,十八烷醋酸酰胺,octadecyl acetyl amine;octadecyl acetamide,,"易燃固体,类别2",,269
1952,十八烷酰氯,硬脂酰氯,octadecanoyl chloride;stearoyl chloride,112-76-5,"皮肤腐蚀/刺激,类别2 皮肤致敏物,类别1",,269
1953,十二烷基硫醇,月桂硫醇；十二硫醇,n-dodecylmercaptan;lauryl mercaptan;n-dodecanethiol,112-55-0,"皮肤腐蚀/刺激,类别1C 严重眼损伤/眼刺激,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,269
1954,十二烷基三氯硅烷,,dodecyltrichlorosilane,4484-72-4,"皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1",,269
1955,十二烷酰氯,月桂酰氯,dodecanoyl chlorice;lauroyl chloride,112-16-3,"皮肤腐蚀/刺激,类别1B 严重眼损伤/眼刺激,类别1",,269
1956,十六烷基三氯硅烷,,hexadecyltrichlorosilane,5894-60-0,"皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1",,269
185,2-碘丙烷,异丙基碘；碘代异丙烷,2-iodopropane;isopropyl iodide;iodo-iso-propane,75-30-9,"易燃液体,类别3",,26
186,1-碘丁烷,正丁基碘；碘代正丁烷,1-iodobutane;n-butyl iodide;iodo-n-butane,542-69-8,"易燃液体,类别3 急性毒性-吸入,类别3",,26
187,2-碘丁烷,仲丁基碘；碘代仲丁烷,2-iodobutane;sec-butyl iodide;iodo-sec-butane,513-48-4,"易燃液体,类别2",,26
188,碘化钾汞,碘化汞钾,"mercurate(2-), tetraiodo-, dipotassium, (T-4)-;mercury potassium iodide;potassium mercuric iodide",7783-33-7,"急性毒性-经口,类别2* 急性毒性-经皮,类别1 急性毒性-吸入,类别2* 特异性靶器官毒性-反复接触,类别2* 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,26
189,碘化氢[无水],,"hydrogen iodide,anhydrous",10034-85-2,"加压气体 皮肤腐蚀/刺激,类别1A 严重眼损伤/眼刺激,类别1 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激）",,26
190,碘化亚汞,一碘化汞,mercurous iodide;mercurous monoiodide,15385-57-6,"急性毒性-经口,类别2* 急性毒性-经皮,类别1 急性毒性-吸入,类别2* 特异性靶器官毒性-反复接触,类别2* 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,26
191,碘化亚铊,一碘化铊,thallous iodide;thallium (Ⅰ) iodide,7790-30-9,"急性毒性-经口,类别2 急性毒性-吸入,类别2* 特异性靶器官毒性-反复接触,类别2* 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,26
192,碘化乙酰,碘乙酰；乙酰碘,ethanoyl iodide;acetyl iodide,507-02-8,"皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1",,26
1957,十六烷酰氯,棕榈酰氯,hexadecanoyl chloride;palmitoyl chloride,112-67-4,"皮肤腐蚀/刺激,类别2 皮肤致敏物,类别1",,270
1958,十氯酮,十氯代八氢-亚甲基-环丁异 [CD]戊搭烯-2-酮；开蓬,"chlordecone;decachloroketone;kepone;de cachlorooctahydro-1,3,4-metheno-2H-cyc lobuta[cd]pentalen-2-one",143-50-0,"急性毒性-经口,类别3* 急性毒性-经皮,类别3* 致癌性,类别2 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,270
1959,"1,1,2,2,3,3,4,4,5,5,6, 6,7,7,8,8,8-十七氟-1- 辛烷磺酸",,"1-octanesulfonic acid,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8 -heptadecafluoro-, ion(1-)",45298-90-6,"生殖毒性,类别1B 生殖毒性,附加类别 特异性靶器官毒性-反复接触,类别1 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,270
1960,十氢化萘,萘烷,decahydronaphthalene;decalin,91-17-8,"易燃液体,类别3 急性毒性-吸入,类别3 皮肤腐蚀/刺激,类别1C 严重眼损伤/眼刺激,类别1 吸入危害,类别1 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,270
1961,十四烷酰氯,肉豆蔻酰氯,tetradecanoyl chloride;myristoyl chloride,112-64-1,"皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1",,270
1962,十溴联苯,,decabromobiphenyl,13654-09-6,"严重眼损伤/眼刺激,类别2B 致癌性,类别1B",,270
1963,石棉[含:阳起石石棉、铁 石棉、透闪石石棉、直闪 石石棉、青石棉],,asbestos,1332-21-4,"生殖细胞致突变性,类别2 致癌性,类别1A 特异性靶器官毒性-反复接触,类别1",,270
1964,石脑油,,naphtha;low boiling point naphtha,8030-30-6,"易燃液体,类别2* 生殖细胞致突变性,类别1B 吸入危害,类别1 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,270
1965.0,石油醚,石油精,ligroine;low boiling point naphtha,8032-32-4,"易燃液体,类别2* 生殖细胞致突变性,类别1B 吸入危害,类别1 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,271
1966.0,石油气,原油气,oil gas;crude gas,,"易燃气体,类别1 加压气体",,271
1967.0,石油原油,原油,petroleum;crude oil,8002-05-9,"（1）闪点＜23℃和初沸点≤35℃： 易燃液体,类别1 （2）闪点＜23℃和初沸点＞35℃： 易燃液体,类别2 （3）23℃≤闪点≤60℃： 易燃液体,类别3",,271
1968.0,铈[粉、屑],,"cerium,turning or gritty powder",7440-45-1,"易燃固体,类别1 遇水放出易燃气体的物质和混合物, 类别2 特异性靶器官毒性-一次接触,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,271
,金属铈[浸在煤油中的],,"cerium, metal (suspended in kerosene)",,"易燃液体,类别3 遇水放出易燃气体的物质和混合物, 类别2 特异性靶器官毒性-一次接触,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,271
1969.0,铈镁合金粉,,"cerium magnesium alloy,powder",,"遇水放出易燃气体的物质和混合物, 类别2",,271
1970.0,叔丁胺,2-氨基-2-甲基丙烷；特丁胺,tert-butylamine;2-amino-2-methylpropan e,75-64-9,"易燃液体,类别2 急性毒性-经口,类别3 急性毒性-吸入,类别3 皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1 危害水生环境-长期危害,类别3",,271
1971.0,"5-叔丁基-2,4,6-三硝基 间二甲苯","二甲苯麝香；1-(1,1-二甲基 乙基)-3,5-二甲基-2,4,6-三 硝基苯","5-tert-butyl-2,4,6-trinitro-m-xylene;m usk xylene;benzene, 1-(1,1-dimethylethyl)-3,5-dimethyl-2,4 ,6-trinitro-",81-15-2,"易燃固体,类别2 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,272
1972.0,叔丁基苯,叔丁苯,tert-butylbenzene,98-06-6,"易燃液体,类别3 急性毒性-吸入,类别3 皮肤腐蚀/刺激,类别2 特异性靶器官毒性-一次接触,类别2 危害水生环境-长期危害,类别3",,272
1973.0,2-叔丁基苯酚,邻叔丁基苯酚,2-tert-butyl phenol;o-tert-butylphenol,88-18-6,"皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1 特异性靶器官毒性-一次接触,类别2 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,272
1974.0,4-叔丁基苯酚,对叔丁基苯酚；对特丁基苯 酚；4-羟基-1-叔丁基苯,4-tert-butyl phenol;p-tert-butyl phenol;4-hydroxy-1-tert-butylbenzene,98-54-4,"皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别1 生殖毒性,类别2 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别3",,272
1975.0,叔丁基过氧-2-甲基苯甲 酸酯[含量≤100%],,tert-butyl peroxy-2-methylbenzoate (not more than 100%),22313-62-8,"有机过氧化物,C型",,272
1976.0,叔丁基过氧-2-乙基己酸 酯[52%＜含量≤100%],过氧化-2-乙基己酸叔丁酯,tert-butyl peroxy-2-ethylhexanoate (more than 52%),3006-82-4,"有机过氧化物,C型",,272
,"叔丁基过氧-2-乙基己酸 酯[32%＜含量≤52%,含 B 型稀释剂≥48%]",,"tert-butyl peroxy-2-ethylhexanoate (more than 32% but not more than 52%, and diluent type B not less than 48%)",,"有机过氧化物,E型",,272
,"叔丁基过氧-2-乙基己酸 酯[含量≤32%,含B型稀释 剂≥68%]",,"tert-butyl peroxy-2-ethylhexanoate (not more than 32%, and diluent type B not less than 68%)",,"有机过氧化物,F型",,272
,"叔丁基过氧-2-乙基己酸 酯[含量≤52%,惰性固体 含量≥48%]",,"tert-butyl peroxy-2-ethylhexanoate (not more than 52%, and inert solid not less than 48%)",,"有机过氧化物,E型",,272
1977.0,"叔丁基过氧-2-乙基己酸 酯和 2,2-二-(叔丁基过 氧)丁烷的混合物[叔丁基 过 氧 -2- 乙 基 己 酸 酯 ≤12%,2,2-二-(叔丁基过 氧)丁烷的混合物≤14%, 含 A 型稀释剂≥14%,含惰 性固体≥60%]",,"tert-butyl peroxy-2-ethylhexanoate peroxy+2,2-di-(tert-butylperoxy)butane (tert-butyl peroxy-2-ethylhexanoate peroxy not more than 12%, and 2,2-di-(tert-butylperoxy)butane not more than 14%, and diluent type A not less than 14%, and inert solid not less than 60%)",,"有机过氧化物,D型",,273
,"叔丁基过氧-2-乙基己酸 酯和 2,2-二-(叔丁基过 氧)丁烷的混合物[叔丁基 过 氧 -2- 乙 基 己 酸 酯 ≤31%,2,2-二-(叔丁基过 氧)丁烷≤36%,含B型稀释 剂≥33%]",,"tert-butyl peroxy-2-ethylhexanoate peroxy+2,2-di-(tert-butylperoxy)butane (tert-butyl peroxy-2-ethylhexanoate peroxy not more than 31%, and 2,2-di-(tert-butylperoxy)butane not more than 36%, and diluent type B not less than 33%)",,"有机过氧化物,D型",,273
1978.0,叔丁基过氧-2-乙基己碳 酸酯[含量≤100%],,tert-butyl peroxy-2-ethylhexylcarbonate (not more than 100%),34443-12-4,"有机过氧化物,D型",,273
1979.0,"叔丁基过氧丁基延胡索酸 酯[含量≤52%,含A型稀释 剂≥48%]",,"tert-butyl peroxybutyl fumarate (not more than 52%, and diluent type A not less than 48%)",,"有机过氧化物,D型",,273
1980.0,叔丁基过氧二乙基乙酸酯 [含量≤100%],过氧化二乙基乙酸叔丁酯；过 氧化叔丁基二乙基乙酸酯,tert-butyl peroxydiethylacetate (not more than 100%);tert-butyl perdiethylacetate,,"有机过氧化物,C型",,273
1981.0,叔丁基过氧新癸酸酯[77% ＜含量≤100%],过氧化新癸酸叔丁酯,tert-butyl peroxyneodecanoate (more than 77%);tert-butyl perneodecanoate,26748-41-4,"有机过氧化物,D型",,273
,"叔丁基过氧新癸酸酯[含 量≤32%,含 A 型稀释剂 ≥68%]",,"tert-butyl peroxyneodecanoate (not more than 32%, and diluent type A not less than 68%)",,"有机过氧化物,F型",,273
,"叔丁基过氧新癸酸酯[含 量≤42%,在水(冷冻)中稳 定弥散]",,tert-butyl peroxyneodecanoate (not more than 42% as a stable dispersion in water(frozen)),,"有机过氧化物,E型",,273
,"叔丁基过氧新癸酸酯[含 量≤52%,在水中稳定弥 散]",,tert-butyl peroxyneodecanoate (not more than 52% as a stable dispersion in water),,"有机过氧化物,F型",,274
,叔丁基过氧新癸酸酯[含 量≤77%],,tert-butyl peroxyneodecanoate (not more than 77%),,"有机过氧化物,D型",,274
1982.0,"叔丁基过氧新戊酸酯[27% ＜含量≤67%,含 B 型稀释 剂≥33%]",,"tert-butyl peroxypivalate (more than 27% but not more than 67%, and diluent type B not less than 33%);tert-butyl perpivalate",927-07-1,"有机过氧化物,D型",,274
,"叔丁基过氧新戊酸酯[67% ＜含量≤77%,含 A 型稀释 剂≥23%]",,"tert-butyl peroxypivalate (more than 67% but not more than 77%, and diluent type A not less than 23%)",,"有机过氧化物,C型",,274
,"叔丁基过氧新戊酸酯[含 量≤27%,含 B 型稀释剂 ≥73%]",,"tert-butyl peroxypivalate (not more than 27%, and diluent type B not less than 73%)",,"有机过氧化物,F型",,274
1983.0,"1-(2-叔丁基过氧异丙 基)-3-异丙烯基苯[含量 ≤42%, 惰 性 固 体 含 量 ≥58%]",,"1-(2-tert-butylperoxy isopropyl)-3-isopropenylbenzene (not more than 42%, and inert solid not less than 58%)",96319-55-0,"有机过氧化物,E型",,274
,"1-(2-叔丁基过氧异丙 基)-3-异丙烯基苯[含量 ≤77%, 含 A 型稀释剂 ≥23%]",,"1-(2-tert-butylperoxy isopropyl)-3-isopropenylbenzene (not more than 77%, and diluent type A not less than 23%)",,"有机过氧化物,D型",,274
1984.0,"叔丁基过氧异丁酸酯[52% ＜含量≤77%,含 B 型稀释 剂≥23%]",过氧化异丁酸叔丁酯,"tert-butyl peroxyisobutyrate (more than 52% but not more than 77%, and diluent type B not less than 23%);tert-butyl perisobutyrate",109-13-7,"有机过氧化物,B型",,274
,"叔丁基过氧异丁酸酯[含 量≤52%,含 B 型稀释剂 ≥48%]",,"tert-butyl peroxyisobutyrate (not more than 52%, and diluent type B not less than 48%)",,"有机过氧化物,D型",,274
1985,叔丁基过氧硬酯酰碳酸酯 [含量≤100%],,tert-butyl peroxy stearylcarbonate (not more than 100%),,"有机过氧化物,D型",,275
1986,叔丁基环己烷,环己基叔丁烷；特丁基环己烷,tert-butylcyclohexane;cyclohexyl-tert- butane,3178-22-1,"易燃液体,类别3",,275
1987,叔丁基硫醇,叔丁硫醇,tert-butyl mercaptan;tert-butanethiol,75-66-1,"易燃液体,类别2 严重眼损伤/眼刺激,类别2B 皮肤致敏物,类别1 特异性靶器官毒性-一次接触,类别 3 （麻醉效应） 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,275
1988,叔戊基过氧-2-乙基己酸 酯[含量≤100%],过氧化-2-乙基己酸叔戊酯,tert-amyl peroxy-2-ethyl hexanoate (not more than 100%);tert-amyl per-2-ethyl hexanoate,686-31-7,"有机过氧化物,D型",,275
1989,"叔戊基过氧化氢[含量 ≤88%,含A型稀释剂≥6%, 含水≥6%]",,"tert-amyl hydroperoxide (not more than 88%, and diluent type A not less than 6%, and inert water less than 6%)",3425-61-4,"有机过氧化物,E型 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,275
1990,"叔戊基过氧戊酸酯[含量 ≤77%, 含 B 型稀释剂 ≥23%]",过氧化叔戊基新戊酸酯,"tert-amyl peroxypivalate (not more than 77%, and diluent type B not less than 23%);tert-amyl perpivalate",29240-17-3,"有机过氧化物,C型",,275
1991,"叔戊基过氧新癸酸酯[含 量≤77%,含 B 型稀释剂 ≥23%]",过氧化叔戊基新癸酸酯,"tert-amyl peroxyneodecanoate (not more than 77%, and diluent type B not less than 23%);tert-amyl perneodecanoate",68299-16-1,"有机过氧化物,D型",,275
1992,叔辛胺,,tert-octylamine,107-45-9,"易燃液体,类别2 皮肤腐蚀/刺激,类别1C 严重眼损伤/眼刺激,类别1 危害水生环境-长期危害,类别3",,275
1993,树脂酸钙,,calcium resinate,9007-13-0,"易燃固体,类别2",,275
1994,树脂酸钴,,cobalt resinate,68956-82-1,"易燃固体,类别2",,275
1995,树脂酸铝,,aluminium resinate,61789-65-9,"易燃固体,类别2",,275
1996,树脂酸锰,,manganese resinate,9008-34-8,"易燃固体,类别2",,275
1997.0,树脂酸锌,,zinc resinate,9010-69-9,"易燃固体,类别2",,276
1998.0,双(1-甲基乙基)氟磷酸酯,二异丙基氟磷酸酯；丙氟磷,bis(1-methylethyl)phosphorofluoridate; diisopropyl fluorophosphate;DFP;diisopropyl phosphorofluoridate,55-91-4,"急性毒性-经口,类别1 急性毒性-吸入,类别2",剧毒,276
1999.0,双(2-氯乙基)甲胺,氮芥；双(氯乙基)甲胺,bis-(2-chloroethyl)methylamine;nitroge n mustard,51-75-2,"急性毒性-经口,类别2 急性毒性-经皮,类别1 急性毒性-吸入,类别1 皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1 生殖细胞致突变性,类别1B 致癌性,类别1B 特异性靶器官毒性-一次接触,类别2",剧毒,276
2000.0,"5-[ 双 (2- 氯 乙 基 ) 氨 基]-2,4-(1H,3H)嘧啶二 酮",尿嘧啶芳芥；嘧啶苯芥,"5-(bis(2-chloroethyl)amino)-2,4(1H,3H) pyrimidinedione;uramustine;uracil mustard",66-75-1,"急性毒性-经口,类别1",剧毒,276
2001.0,"2,2-双-[4,4-二(叔丁基 过氧化)环己基]丙烷[含 量≤42%,惰性固体含量 ≥58%]",,"2,2-di-(4,4-di (tert-butylperoxy)cyclohexyl) propane (not more than 42%, and inert solid not less than 58%)",,"有机过氧化物,D型",,276
,"2,2-双-[4,4-二(叔丁基 过氧化)环己基]丙烷[含 量≤22%,含 B 型稀释剂 ≥78%]",,"2,2-di-(4,4-di (tert-butylperoxy)cyclohexyl) propane (not more than 22%, and diluent type B not less than 78%)",,"有机过氧化物,E型",,276
2002.0,"2,2-双(4-氯苯基)-2-羟 基乙酸乙酯","4,4'-二氯二苯乙醇酸乙酯； 乙酯杀螨醇","ethyl 2,2-di(4-chlorophenyl)-2-hydroxyacetat e;ethyl 4,4'-dichlorobenzilate;chlorobenzilate",510-15-6,"危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,276
2003.0,"O,O-双(4-氯苯基)N-(1- 亚氨基)乙基硫代磷酸胺",毒鼠磷,"O,O-bis(4-chlorophenyl)N-acetimidoylph osphoramidothioate;phosacetim",4104-14-7,"急性毒性-经口,类别2* 急性毒性-经皮,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",剧毒,276
2004.0,"双(N,N-二甲基甲硫酰)二 硫化物",四甲基二硫代秋兰姆；四甲基 硫代过氧化二碳酸二酰胺；福 美双,"tetramethylthiuram disulphide;thioperoxydicarbonic diamide, tetramethyl-;thylate;thiram",137-26-8,"皮肤腐蚀/刺激,类别2 严重眼损伤/眼刺激,类别2 皮肤致敏物,类别1 特异性靶器官毒性-反复接触,类别2* 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,277
2005.0,双(二甲胺基)磷酰氟[含 量＞2%],甲氟磷,tetramethylphosphorodiamidic fluoride(more than 2%);dimefox,115-26-4,"急性毒性-经口,类别2* 急性毒性-经皮,类别1",剧毒,277
2006.0,双(二甲基二硫代氨基甲 酸)锌,福美锌,zinc bis dimethyldithiocarbamate;ziram,137-30-4,"急性毒性-吸入,类别2* 严重眼损伤/眼刺激,类别1 皮肤致敏物,类别1 特异性靶器官毒性-一次接触,类别 3 （呼吸道刺激） 特异性靶器官毒性-反复接触,类别2* 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,277
2007.0,"4,4-双-(过氧化叔丁基) 戊酸正丁酯[52%＜含量 ≤100%]","4,4-二(叔丁基过氧化)戊酸 正丁酯","n-butyl-4,4-di(tert-butylperoxy)-valer ate(more than 52%);n-Butyl 4,4-bis(t-butylperoxy) valerate;pentanoic acid,4,4-bis[(1,1-dimethylethyl)dioxy] -, butyl ester",995-33-5,"有机过氧化物,C型",,277
,"4,4-双-(过氧化叔丁基) 戊酸正丁酯[含量≤52%, 含惰性固体≥48%]",,"n-butyl-4,4-di(tert-butylperoxy)-valer ate (not more than 52%, and inert solid not less than 48%)",,"有机过氧化物,E型",,277
2008.0,"双过氧化壬二酸[含量 ≤27%, 惰 性 固 体 含 量 ≥73%]",,"diperoxyazelaic acid (not more than 27%, and inert solid not less than 73%);nonanediperoxoic acid",1941-79-3,"有机过氧化物,D型",,277
2009.0,"双过氧化十二烷二酸[含 量≤42%,含硫酸钠≥56%]",,"diperoxy dodecane diacid (not more than 42%, and sodium sulfate not less than 56%)",66280-55-5,"有机过氧化物,D型",,277
2010,双戊烯,"苎烯；二聚戊烯；1,8-萜二烯",dipentene;limonene,138-86-3,"易燃液体,类别3 皮肤腐蚀/刺激,类别2 皮肤致敏物,类别1 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,278
2011,"2,5- 双 (1- 吖 丙 啶 基)-3-(2-氨甲酰氧-1-甲 氧乙基)-6-甲基-1,4-苯 醌",卡巴醌,"2,5-bis(1-aziridinyl)-3-(2-carbamoylox y-1-methoxyethyl)-6-methyl-1,4-ben zoquinone;carboquone;esquinon;carbazil quinone",24279-91-2,"急性毒性-经口,类别2",,278
2012,水合肼[含肼≤64%],水合联氨,"hydrazine hydrate with not more than 64% hydrazine,by mass;diamide hydrate",10217-52-4,"急性毒性-经口,类别3* 急性毒性-经皮,类别3* 急性毒性-吸入,类别3* 皮肤腐蚀/刺激,类别1B 严重眼损伤/眼刺激,类别1 皮肤致敏物,类别1 致癌性,类别2 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,278
2013,水杨醛,2-羟基苯甲醛；邻羟基苯甲醛,salicylaldehyde;2-hydroxy benzaldehyde;o-hydroxy benzaldehyde,90-02-8,"急性毒性-经皮,类别3 生殖毒性,类别2 特异性靶器官毒性-反复接触,类别2 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别3",,278
2014,水杨酸汞,,mercury salicylate,5970-32-1,"急性毒性-经口,类别2* 急性毒性-经皮,类别1 急性毒性-吸入,类别2* 特异性靶器官毒性-反复接触,类别2* 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,278
2015,水杨酸化烟碱,,nicotine salicylate,29790-52-1,"急性毒性-经口,类别2* 急性毒性-经皮,类别1 急性毒性-吸入,类别2* 危害水生环境-急性危害,类别2 危害水生环境-长期危害,类别2",,279
2016,丝裂霉素C,自力霉素,mitomycin C;ametycin,50-07-7,"急性毒性-经口,类别2 致癌性,类别2",,279
2017,四苯基锡,,tetraphenyltin,595-90-4,"危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,279
2018,四碘化锡,,tin tetraiodide,7790-47-8,"皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1",,279
2019,四丁基氢氧化铵,,tetrabutylammonium hydroxide,2052-49-5,"皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1",,279
2020,四丁基氢氧化磷,,tetrabutyl phosphorous hydroxide,14518-69-5,"皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1",,279
2021,四丁基锡,,tetra butyltin,1461-25-2,"严重眼损伤/眼刺激,类别2B 生殖毒性,类别2 特异性靶器官毒性-一次接触,类别 3 （麻醉效应） 特异性靶器官毒性-反复接触,类别2 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,279
2022,四氟代肼,四氟肼,tetrafluorohydrazine,10036-47-2,"氧化性气体,类别1 加压气体 急性毒性-吸入,类别2 危害水生环境-急性危害,类别1 危害水生环境-长期危害,类别1",,279
2023,四氟化硅,氟化硅,silicon tetrafluoride,7783-61-1,"加压气体 急性毒性-吸入,类别3* 皮肤腐蚀/刺激,类别1 严重眼损伤/眼刺激,类别1",,279
